term,estimate,std.error,statistic,p.value,significativo,interpretacion
(Intercept),9109.492800498725,16.91926429488644,538.4095101139778,0,Sí,***
Gender1,17.73447646063644,4.560160128471062,3.889003008888305,1.0066869011558887e-4,Sí,***
Age1,-171.2155102216686,22.65728250697724,-7.556754000350366,4.138867058164062e-14,Sí,***
Age2,-185.72716090207774,10.33517926684426,-17.970386009452124,3.486243353404501e-72,Sí,***
Age3,-103.56350675859537,8.154845440269678,-12.699628400948646,6.0126338138793476e-37,Sí,***
Age4,23.73368925967646,9.403203151174695,2.524000479210271,0.011603056124405747,Sí,*
Age5,16.449236287905787,12.559725498816372,1.3096811940241817,0.1903042551240092,NO,ns
Age6,260.9785440673745,13.423933729180135,19.44128668484672,3.6867985090398607e-84,Sí,***
City_Category1,-236.19881977714172,6.288470043178666,-37.56061779022947,2.3352737028317446e-308,Sí,***
City_Category2,-94.56184563384369,5.513890757350851,-17.149749567993968,6.567177022157139e-66,Sí,***
Product_Category_11,4550.893893579371,19.56316955227032,232.6255917488195,0,Sí,***
Product_Category_12,2200.1719776473146,27.19967456179371,80.88964346425702,0,Sí,***
Product_Category_13,1054.2682217531963,24.911313043046803,42.32086120596769,0,Sí,***
Product_Category_14,-6706.193369714599,17.868231275068936,-375.31377708724705,0,Sí,***
Product_Category_15,-2799.5007706389865,16.943653496371724,-165.22415140503583,0,Sí,***
Product_Category_16,6787.072273335008,31.129145907939584,218.02950499852756,0,Sí,***
Product_Category_17,7345.15298017453,66.91122988350013,109.7745922913576,0,Sí,***
Product_Category_18,-1559.9811949556222,17.231397854732112,-90.53132009990807,0,Sí,***
Product_Category_19,6486.447859162436,250.14776734906403,25.930464732515656,3.711118092282284e-148,Sí,***
Product_Category_110,10580.654976523158,58.232423017464825,181.69697272170612,0,Sí,***
Product_Category_111,-4349.5974359694355,19.768821149548447,-220.02310623710548,0,Sí,***
Product_Category_112,-7747.901642534767,17.6266413045055,-439.5563232204848,0,Sí,***
Product_Category_113,-8340.9485499696,16.761801947863148,-497.6164600866754,0,Sí,***
Product_Category_114,4090.2303573897757,99.36742971175786,41.162686498529716,0,Sí,***
Product_Category_115,5725.106678671129,63.87929089362109,89.62382954759492,0,Sí,***
Product_Category_116,5721.328648568257,44.530650039827776,128.48069011907882,0,Sí,***
Product_Category_117,1022.273882391287,92.67889305725477,11.030277214896719,2.7489529393608604e-28,Sí,***
Product_Category_118,-6126.963120685439,20.937197914759924,-292.63529654874037,0,Sí,***
Product_Category_119,-9140.102249702744,17.7784644555554,-514.1108936911957,0,Sí,***
